ID_ISIN,NAME,Date,ID,CHG_PCT_1D,PX_HIGH,PX_LOW,PX_OPEN,PX_VOLUME
GB00B1XZS820,ANGLO AMERICAN PLC,23/08/2019,AAL LN Equity,-0.833,1707.4,1654.8,1692.4,4241910
GB00B1XZS820,ANGLO AMERICAN PLC,26/08/2019,AAL LN Equity,-0.833,1707.4,1654.8,1692.4,4241910
GB00B1XZS820,ANGLO AMERICAN PLC,27/08/2019,AAL LN Equity,1.4281,1696.2,1657,1660.4,5971130
GB00B1XZS820,ANGLO AMERICAN PLC,28/08/2019,AAL LN Equity,1.6091,1720.2,1673.8,1700,3485244
GB00B1XZS820,ANGLO AMERICAN PLC,29/08/2019,AAL LN Equity,1.2343,1753.4,1700.2,1707.8,3751352
GB00B1XZS820,ANGLO AMERICAN PLC,30/08/2019,AAL LN Equity,2.0359,1776.6,1729,1730,4361267
GB00B1XZS820,ANGLO AMERICAN PLC,02/09/2019,AAL LN Equity,0.4509,1799.6,1771.4,1783,3722792
GB00B1XZS820,ANGLO AMERICAN PLC,03/09/2019,AAL LN Equity,-0.5162,1780.4,1746.2,1780,3583936
GB00B1XZS820,ANGLO AMERICAN PLC,04/09/2019,AAL LN Equity,2.5381,1822.6,1778.6,1796.2,3652483
GB00B1XZS820,ANGLO AMERICAN PLC,05/09/2019,AAL LN Equity,0.9901,1854.8,1813.4,1852.2,5660042
GB00B1XZS820,ANGLO AMERICAN PLC,06/09/2019,AAL LN Equity,0.6536,1858.4,1812.4,1826,4778800
GB00B1XZS820,ANGLO AMERICAN PLC,09/09/2019,AAL LN Equity,0.4004,1860,1834,1852.6,3737583
GB00B1XZS820,ANGLO AMERICAN PLC,10/09/2019,AAL LN Equity,0.0431,1859,1830.8,1851,3742515
GB00B1XZS820,ANGLO AMERICAN PLC,11/09/2019,AAL LN Equity,1.4438,1902.2,1855.4,1868.2,4093565
GB00B1XZS820,ANGLO AMERICAN PLC,12/09/2019,AAL LN Equity,2.6447,1940.8,1898.2,1915,4341850
GB00B1XZS820,ANGLO AMERICAN PLC,13/09/2019,AAL LN Equity,2.7318,1995,1931,1935.2,4443177
GB00B1XZS820,ANGLO AMERICAN PLC,16/09/2019,AAL LN Equity,-2.4778,1973.4,1933,1965,3972856
GB00B1XZS820,ANGLO AMERICAN PLC,17/09/2019,AAL LN Equity,-0.5371,1941.4,1906,1925,4805714
GB00B1XZS820,ANGLO AMERICAN PLC,18/09/2019,AAL LN Equity,-0.7061,1942.8,1912.4,1930.6,3613413
GB00B1XZS820,ANGLO AMERICAN PLC,19/09/2019,AAL LN Equity,-1.5164,1917.2,1883.4,1898.6,4354251
GB00B1XZS820,ANGLO AMERICAN PLC,20/09/2019,AAL LN Equity,0.6902,1896.4,1860.2,1888.2,33972152
GB00B1XZS820,ANGLO AMERICAN PLC,23/09/2019,AAL LN Equity,-1.3499,1891.2,1832,1888,3936792
GB00B1XZS820,ANGLO AMERICAN PLC,24/09/2019,AAL LN Equity,-2.0633,1881.8,1823.6,1881.8,3130504
GB00B1XZS820,ANGLO AMERICAN PLC,25/09/2019,AAL LN Equity,0.513,1848.4,1805.4,1820,3647660
GB00B1XZS820,ANGLO AMERICAN PLC,26/09/2019,AAL LN Equity,-0.0543,1873.4,1833.2,1834.4,4363389
GB00B1XZS820,ANGLO AMERICAN PLC,27/09/2019,AAL LN Equity,2.4883,1899.4,1850,1850,3075222
GB00B1XZS820,ANGLO AMERICAN PLC,30/09/2019,AAL LN Equity,-0.8058,1900.8,1867.4,1893.2,3546857
GB00B1XZS820,ANGLO AMERICAN PLC,01/10/2019,AAL LN Equity,-0.3955,1888.6,1857,1880.2,2802442
GB00B1XZS820,ANGLO AMERICAN PLC,02/10/2019,AAL LN Equity,-3.4768,1862.4,1788.8,1861,3991187
