name,twitter_handle,isin
RELX PLC,RELXHQ,GB00B2B0DG97
Rio Tinto PLC,RioTinto,GB0007188757
Rightmove PLC,rightmove,GB00BGDT3G23
Rolls-Royce Holdings PLC,RollsRoyceUK,GB00B63H8491
Rolls-Royce Holdings PLC,RollsRoyceNews,GB00B63H8491
RSA Insurance Group PLC,rsagroup,GB00BKKMKR23
RSA Insurance Group PLC,RSA_Insurance,GB00BKKMKR23
Rentokil Initial PLC,RentokilInitial,GB00B082RF11
Rentokil Initial PLC,RIUKgroup,GB00B082RF11
J Sainsbury PLC,sainsburys,GB00B019KW72
J Sainsbury PLC,JSainsbury,GB00B019KW72
J Sainsbury PLC,SainsburysProbz,GB00B019KW72
Schroders PLC,Schroders,GB0002405495
Schroders PLC,SchrodersPR,GB0002405495
Schroders PLC,Schroders_UK,GB0002405495
Sage Group PLC/The,sageuk,GB00B8C3BL03
Sage Group PLC/The,sagegroupplc,GB00B8C3BL03
Sage Group PLC/The,askSageUKI,GB00B8C3BL03
Sage Group PLC/The,SageSupport,GB00B8C3BL03
Segro PLC,SEGROplc,GB00B5ZN1N88
Smurfit Kappa Group PLC,smurfitkappa,IE00B1RR8406
Standard Life Aberdeen PLC,SLA_plc,GB00BF8Q6K64
Standard Life Aberdeen PLC,ASInvestments,GB00BF8Q6K64
DS Smith PLC,dssmithgroup,GB0008220112
DS Smith PLC,DSSPlastics,GB0008220112
Smiths Group PLC,SmithsGroupplc,GB00B1WY2338
Scottish Mortgage Investment Trust PLC,ScotInvTrust,GB00BLDYK618
Smith & Nephew PLC,SmithNephewPLC,GB0009223206
Smith & Nephew PLC,smithnephew,GB0009223206
Spirax-Sarco Engineering PLC,Spirax_Sarco_UK,GB00BWFGQN14
Spirax-Sarco Engineering PLC,spirax_sarco,GB00BWFGQN14
SSE PLC,SSE,GB0007908733
SSE PLC,YourSSE,GB0007908733
SSE PLC,ssencommunity,GB0007908733
SSE PLC,sseandme,GB0007908733
SSE PLC,ssepl,GB0007908733
Standard Chartered PLC,StanChart,GB0004082847
Standard Chartered PLC,StanChartIN,GB0004082847
St James's Place PLC,sjpwealth,GB0007669376
Severn Trent PLC,stwater,GB00B1FH8J72
Tesco PLC,tesconews,GB0008847096
Tesco PLC,Tesco,GB0008847096
Tesco PLC,Tesco_Scotland,GB0008847096
TUI AG,TUIUK,DE000TUAG000
TUI AG,TUIGroup,DE000TUAG000
TUI AG,TUIUKcares,DE000TUAG000
TUI AG,HolidayTui,DE000TUAG000
Taylor Wimpey PLC,TaylorWimpeyplc,GB0008782301
Taylor Wimpey PLC,TaylorWimpey,GB0008782301
Taylor Wimpey PLC,TWimpeySupport,GB0008782301
Taylor Wimpey PLC,MyHouseSucks,GB0008782301
Unilever PLC,Unilever,GB00B10RZP78
Unilever PLC,UnileverUKI,GB00B10RZP78
United Utilities Group PLC,uugroupplc,GB00B39J2M42
United Utilities Group PLC,unitedutilities,GB00B39J2M42
Vodafone Group PLC,VodafoneGroup,GB00BH4HKS39
Vodafone Group PLC,VodafoneUK,GB00BH4HKS39
WPP PLC,WPP,JE00B8KF9B49
Whitbread PLC,WhitbreadPLC,GB00B1KJJ408
Whitbread PLC,premierinn,GB00B1KJJ408
Whitbread PLC,WHRrecruitment,GB00B1KJJ408
